actual_value,cme_estimator,cme_estimator_square_error,direct_estimator,direct_estimator_square_error,doubly_robust_estimator,doubly_robust_estimator_square_error,ips_estimator,ips_estimator_square_error,null_reward,multiplier
0.8766,0.6018576746720911,0.07548334532658658,0.4811756517352636,0.15636041520059157,0.5450170026386755,0.10994728413912018,0.3371008641809217,0.2910593175495324,0.262,-0.9
0.8744,0.5931005275189086,0.07912939321814026,0.4963749055954206,0.14290297199959115,0.5077483597495265,0.13443342529836264,0.12025122818526793,0.5687403700296688,0.2682,-0.9
0.8838,0.6378282033209386,0.06050212476152554,0.4825642124877864,0.16099015718054624,0.4744850485710053,0.1675387294633203,0.0857173210770783,0.6369359623967874,0.2676,-0.9
0.878,0.6096399766532599,0.07201710213066291,0.45644814623841085,0.17770596540983224,0.8411631986113418,0.0013569499365474501,0.9604586709964066,0.006799432422493624,0.2656,-0.9
0.88,0.6093206035397205,0.07326733566810117,0.5257456151437946,0.1254961691898485,0.532278207689965,0.1209104448473031,0.0955390824368864,0.6153789311839621,0.2538,-0.9
0.8784,0.6374694266847121,0.05804754115803331,0.5694726910081994,0.0954360822409154,0.6042708264785911,0.0751468037755307,0.0914410306467367,0.6193044194455504,0.27,-0.9
0.8798,0.6356687364524418,0.059600073841327324,0.4539697252175931,0.1813314229212602,0.6587821373495867,0.048848895610556976,0.4290771574399055,0.20315108080545177,0.2656,-0.9
0.8776,0.7051577205289831,0.029736339749160325,0.580675093809294,0.08816439991635956,0.6247540220140134,0.06393108858369004,0.18571626097316635,0.4787031083297518,0.2614,-0.9
0.8856,0.6777432303098768,0.043204436706012934,0.5559396339276013,0.10867595695898798,0.5601592443975203,0.10591168540711296,0.17843902078232585,0.5000766505280998,0.2634,-0.9
0.8748,0.566386752836036,0.09511873102622036,0.4569980902298397,0.17455843580759317,0.3968560319847828,0.22843043656213097,0.10775416511231797,0.5883593128185413,0.2666,-0.9
0.8786,0.651953037225293,0.05136884573499946,0.553089760331453,0.10595691612907497,0.7325185272548106,0.02133979667940353,0.40352432876208216,0.22569689340215823,0.2706,-0.9
0.8732,0.59133296360345,0.07944902620697403,0.27939517972659234,0.35260416457993393,0.4057899679104482,0.21847213809795582,0.17794463696437782,0.4833800198297948,0.2806,-0.9
0.8736,0.6442709846095876,0.052591797299936,0.5218651162737424,0.12371742842992396,0.5455619863390627,0.1076089384066133,0.18355152915815387,0.47616689211117025,0.2674,-0.9
0.8808,0.6060970120006118,0.07546173161579202,0.4717801428109873,0.16729724357492037,0.4674394482754562,0.17086694572201927,0.38707426527388816,0.243765101130839,0.2658,-0.9
0.875,0.603450814244508,0.07373896028447072,0.3827883593680446,0.24227229917360119,0.5822225258685795,0.08571864935877462,0.5749359803420203,0.09003841589330441,0.2796,-0.9
0.881,0.5653736056783764,0.09962002079246907,0.3479503976289758,0.28414187858790707,0.35609458774523556,0.2755256918143443,0.12265449420250465,0.5750879061632591,0.275,-0.9
0.881,0.6791612830580357,0.040738867656778394,0.6452480841951445,0.0555789658056597,0.8183601527288139,0.003923750466157521,2.813906471898638,3.7361274291076407,0.2818,-0.9
0.8812,0.5832900165978601,0.08875035821066328,0.3916940757252043,0.239616049900122,0.44419888033134003,0.19096997859166245,0.07259320417032616,0.6538449502619319,0.267,-0.9
0.879,0.6811473310398668,0.03914567861464806,0.6727691919095814,0.04253114620562707,0.5999428493923783,0.07787289330524487,0.14655609958332602,0.5364740672575906,0.2726,-0.9
0.889,0.6421608727980644,0.060929554717813326,0.5267386621670216,0.13123327688853934,0.5908800289458409,0.08887551714133267,0.23301919217725495,0.43031082023178113,0.2668,-0.9
0.8756,0.6284599587919478,0.06107819996831775,0.544802825095774,0.10942677092461708,0.6278123505480971,0.061398719220899116,0.2894573770284393,0.34356317446398116,0.2656,-0.9
0.8712,0.6322235613104681,0.05710973824873159,0.5287200827580935,0.11729249371402314,0.6622872277793239,0.04364454639692808,0.2364328203451324,0.40292937236699483,0.2722,-0.9
0.881,0.6344529661117109,0.06078543991911319,0.4891131801130483,0.15357527960110814,0.544911747454916,0.11295531349880816,0.30137154917087017,0.335969141010577,0.273,-0.9
0.8838,0.6453739916408144,0.05684696146209444,0.3424839831686273,0.2930230300781829,0.5430917646975426,0.1160821016029147,0.319770832400894,0.31812890190254045,0.2764,-0.9
0.8736,0.6372010714245643,0.05588445343161398,0.5704846513252705,0.09187891460220288,0.5232518319232962,0.12274383887470235,0.10733236571084714,0.5871660873590949,0.2618,-0.9
0.8736,0.6444570525330657,0.052506490373834216,0.5902776073399931,0.08027157818259115,0.5754597803979243,0.08888759054437392,0.11192242342217355,0.5801527306614708,0.2714,-0.9
0.8798,0.6509106100375142,0.05239035283739893,0.42615538092561767,0.20579344041514147,0.5539139019930807,0.10620174887417545,0.11224021524119979,0.5891480231789757,0.2748,-0.9
0.8816,0.5927117130132719,0.08345644235812623,0.35564357501631605,0.27663016098161763,0.56405625563864,0.10083402958303277,0.22872209899236276,0.4262495536241383,0.2804,-0.9
0.8716,0.5800952664602025,0.08497500967610837,0.37110721897767907,0.2504930238554569,0.516138964602838,0.12635254768562246,0.48978812512000286,0.14578030779937862,0.2614,-0.9
0.8738,0.6129411635867904,0.06804733253485365,0.5151424104589183,0.12863526653541907,1.58945482279918,0.5121618253957257,3.8680976178704682,8.96581822438476,0.271,-0.9
0.8766,0.5833600666013303,0.08598965853965625,0.5138627019885512,0.13157834736864663,0.5023374408624263,0.14007246317220592,0.22317687868524294,0.4269617754687198,0.2614,-0.9
0.8748,0.6144785112864624,0.06776727748603252,0.6149648285283708,0.06751431633369098,0.43329711896714146,0.19492479396031445,0.15378833834284011,0.5198578162456189,0.2704,-0.9
0.8786,0.6172077094550215,0.0683259295563505,0.5994110554290936,0.07794646677061669,0.505879237247431,0.13892076698685685,0.10249303134268807,0.6023420267984418,0.27,-0.9
0.8708,0.6598890612036903,0.04448342410394071,0.5028833616846341,0.13536265274927978,0.6363305579214139,0.054975919268643446,0.09223186584422013,0.6061683395228125,0.269,-0.9
0.8664,0.6035241171946261,0.06910372976070467,0.4693110744764605,0.1576796147734391,0.35511246286470965,0.26141494562987083,0.09533634216435741,0.5945391644348809,0.2748,-0.9
0.8742,0.6106769786314602,0.06944438279120388,0.44330876688660026,0.18566725477398618,0.5038854929247474,0.1371328341503873,0.4563141153308039,0.17462861260575663,0.2656,-0.9
0.8858,0.607260641670589,0.07758417413856003,0.463568556208267,0.17827939212645144,0.5515292919089765,0.11173690628767427,0.25302998215618216,0.4003978954820655,0.2806,-0.9
0.8772,0.6219953513968399,0.0651294126686624,0.4898788683949919,0.150017658987784,1.3820979500044603,0.25492193991870654,3.771399400148391,8.376390167819308,0.2846,-0.9
0.8834,0.6652285605356936,0.04759877699792751,0.5763076243970543,0.09430572715346065,0.6848686181059709,0.03941470959675282,0.35435088033628537,0.27989297101695143,0.271,-0.9
0.8852,0.6360074799223504,0.06209691206264979,0.4042757822626678,0.2312881032062649,0.5206481642650101,0.132898040937751,0.0672007326283978,0.669122801420478,0.2604,-0.9
0.8718,0.6292764731019354,0.058817661099076296,0.4456377052639667,0.18161430145468174,0.5350646091076879,0.11339072347939821,0.1426566549628924,0.5316500176119027,0.2652,-0.9
0.8734,0.6187117379115671,0.06486611084562627,0.4921651601627136,0.14534000310576137,0.46567730526197326,0.1662377958044381,0.06799982614895736,0.6486694400392896,0.2674,-0.9
0.8684,0.6556207225153633,0.045275020926884,0.5071869305841624,0.13047488151681066,0.8181025583064107,0.0025298326409200146,0.6400062608491044,0.052163700083327325,0.2762,-0.9
0.8772,0.6637983512759673,0.045540263678135434,0.4781526254073367,0.1592388071692973,0.6614442186100952,0.0465505572031684,0.13925235308608858,0.5445667295857789,0.2796,-0.9
0.872,0.6098849025659555,0.06870432430285864,0.529926822590176,0.11701405870325293,0.53031171473054,0.11675088429038391,0.06817362104131902,0.6461368475098251,0.268,-0.9
0.8762,0.6268206977990016,0.06219003636625686,0.5198845725273786,0.1269606838549969,0.3327574876057325,0.29532976427739355,0.22987319744681076,0.4177383356986292,0.2648,-0.9
0.8728,0.6509100313148958,0.04923515820307654,0.574684146977216,0.08887306182350214,0.6161527756029621,0.06586779779070354,0.37187324391553206,0.250927614961308,0.2694,-0.9
0.883,0.5925426063315807,0.08436549753665108,0.4826989260799914,0.1602409497815122,0.553599078134555,0.108504967325805,0.1282312956789787,0.5696757970224332,0.2662,-0.9
0.8734,0.6327933064702069,0.05789158097133974,0.5722559958908707,0.09068771121087923,0.5536697485760111,0.1022274336756471,0.08826606375600661,0.6164352978419869,0.2696,-0.9
